CustomerID,Name,Region,JoinDate,AverageNumberOfPurchasesPerYear,OnlineAccountStatus
1106,Jennifer Ewing,east,2023-05-16,5,Registered With No Uprgades
1107,Emily Hoffman,West,2023-06-09,1,Registered With Upgrades
1108,Sharon Bautista,Central,2022-07-31,7,Registered With No Uprgades
1109,Aaron Garcia,EAST,2023-07-31,2,Not Registered
1110,Melissa Grimes,South,2024-03-14,1,Not Registered
1111,Ronald Chavez,south-west,2021-06-24,3,Not Registered
1112,Joseph Flores,East,2021-04-03,6,Not Registered
1113,Louis Jones,Central,2021-07-04,17,Registered With Upgrades
1114,Grace Price,South,2022-03-25,1,Not Registered
1115,Gina Banks,West,2023-09-16,11,Registered With No Uprgades
1116,Melissa Rivera,Central,2021-10-25,4,Not Registered
1117,Amanda Lang,North,2024-04-14,1,Not Registered
1118,Briana Alvarado,South,2022-03-18,5,Not Registered
1119,Cameron Hernandez,east,2022-08-08,2,Not Registered
1120,Daniel Meyer,South,2024-03-15,4,Not Registered
1121,Stephanie Garrison,East,2020-08-21,1,Not Registered
1122,Christopher Martinez,east,2021-10-07,6,Registered With No Uprgades
1123,Colleen Greene,south-west,2022-08-21,2,Not Registered
1124,Megan Novak,East,2022-12-19,5,Not Registered
1125,Debbie Andrews,West,2021-05-22,18,Registered With Upgrades
1126,Lee Luna,east,2021-01-19,1,Not Registered
1127,George Edwards,Central,2023-05-12,3,Registered With No Uprgades
1128,Vincent Day,North,2022-07-03,9,Registered With Upgrades
1129,Karina Jones,East,2023-11-05,1,Not Registered
1130,Mary Sandoval,North,2020-10-06,5,Registered With No Uprgades
1131,Mark Gomez,West,2020-06-11,8,Registered With Upgrades
1132,Scott Winters,West,2022-09-20,6,Registered With Upgrades
1133,Victor Wagner,south-west,2021-06-12,1,Not Registered
1134,Joseph Aguilar,West,2023-12-05,22,Not Registered
1135,Christopher Chen,South,2023-09-10,3,Registered With No Uprgades
1136,Scott Hernandez,South,2024-02-09,7,Not Registered
1137,Jessica Harmon,south-west,2022-11-05,1,Not Registered
1138,Bonnie Stewart,South,2022-04-19,4,Registered With No Uprgades
1139,Heather Olson,Central,2021-04-20,16,Registered With Upgrades
1140,Carla Flores,EAST,2020-09-30,2,Not Registered
1141,David Palmer,North,2022-09-16,4,Registered With No Uprgades
1142,Marvin Hamilton,North,2022-04-23,1,Not Registered
1143,Miss Chelsea Castro DDS,Central,2021-02-23,7,Not Registered
1144,Brian Browning,EAST,2023-05-03,3,Not Registered
1145,Stephanie Powell,east,2023-02-03,8,Registered With Upgrades
1146,Jonathan Andrade,south-west,2020-06-07,1,Not Registered
1147,William Palmer,south-west,2023-08-14,5,Not Registered
1148,Dean Allison,West,2021-06-23,1,Not Registered
1149,Jordan Elliott,North,2020-05-13,18,Not Registered
1150,Bobby Hunter,North,2020-12-06,3,Not Registered
1151,Sabrina Lester,West,2022-07-16,5,Registered With No Uprgades
1152,Thomas Garcia,east,2022-09-14,9,Registered With Upgrades
1153,Michelle Martinez,East,2023-07-31,4,Not Registered
1154,Edward Castillo,North,2020-10-01,1,Not Registered
1155,Rachel Goodman,North,2023-04-10,10,Registered With Upgrades
1156,Dennis Acevedo,East,2023-06-18,8,Registered With No Uprgades
1157,Cheryl Wu,West,2021-12-10,17,RegisteredWithUpgrades
1158,Kelly Gallagher,East,2024-03-02,6,Registered With No Uprgades
1159,Kelli Smith,North,2022-01-28,1,Not Registered
1160,Phillip Soto,West,2023-04-21,12,Not Registered
1161,David Ellis,East,2023-01-02,15,Registered With Upgrades
1162,Deborah Rice,east,2022-01-14,6,Not Registered
1163,Elizabeth Vaughn,West,2023-05-01,9,Registered With No Uprgades
1164,William Ramsey,North,2023-05-04,5,Registered With No Uprgades
1165,Richard Burnett,Central,2022-07-24,10,Registered With Upgrades
1166,David Mccullough,south-west,2021-12-15,14,Registered With Upgrades
1167,Terry Frederick,North,2021-12-20,8,Registered With Upgrades
1168,Denise Gonzales,South,2022-05-02,3,Not Registered
1169,Michael Edwards,south-west,2023-09-26,10,Registered With Upgrades
1170,Eric Davis,North,2023-10-15,5,Not Registered
1171,Ronald Marquez,south-west,2024-04-21,1,Not Registered
1172,Eric Barr,EAST,2023-02-01,8,Registered With Upgrades
1173,David King MD,North,2022-09-14,16,Registered With Upgrades
1174,Deborah Saunders,West,2021-12-25,1,Not Registered
1175,Teresa Lopez,West,2021-10-20,4,Not Registered
1176,Ashley Williams,EAST,2021-11-24,16,Registered With Upgrades
1177,Katherine West,east,2020-11-01,1,Not Registered
1178,Katherine Kerr,EAST,2020-11-13,9,Registered With No Uprgades
1179,Desiree Miller,EAST,2021-12-21,10,Not Registered
1180,Jennifer Smith,south-west,2020-10-03,2,Not Registered
1181,Tiffany Smith,East,2024-04-07,5,Registered With Upgrades
1182,James Gray,West,2020-07-24,1,Not Registered
1183,Kenneth Graves,East,2020-05-08,5,Registered With No Uprgades
1184,Brittney Chen,EAST,2023-07-20,8,Registered With No Uprgades
1185,Cameron Levine,east,2021-07-26,1,Not Registered
1186,Timothy Williams,West,2021-09-28,5,Registered With No Uprgades
1187,Kayla Solomon,North,2022-06-10,19,Not Registered
1188,Ashley Todd,North,2023-09-04,1,Not Registered
1189,Jennifer Farrell,North,2022-11-18,7,Registered With No Uprgades
1190,Elizabeth Robinson,south-west,2023-12-27,2,Not Registered
1191,Kyle Smith Jr.,South,2023-10-31,6,Registered With No Uprgades
1192,Gregory Medina,EAST,2020-06-06,15,Registered With Upgrades
1193,Nancy King,South,2022-05-23,2,Not Registered
1194,Casey Brown,Central,2024-02-09,9,Registered With Upgrades
1195,Michael Lee,south-west,2023-08-22,7,Not Registered
1196,Dr. Elizabeth Johnston DDS,North,2022-02-09,20,Registered With No Uprgades
1197,William Wilson,West,2023-04-04,1,Not Registered
1198,Chris Allen,south-west,2022-10-11,4,Registered With No Uprgades
1199,James Cooley,West,2020-07-23,8,Registered With Upgrades
1005,Jessica Mora,South,2021-08-05,3,Not Registered
